# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.01,0,0,0
0.02,3.087e-5,0.008,0.371
0.03,0.001,0.078,1.057
0.04,0.006,0.215,1.742
0.05,0.016,0.42,2.428
0.06,0.034,0.691,3.114
0.07,0.062,1.03,3.8
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.103,1.437,4.498
0.091,0.164,1.963,5.253
0.101,0.237,2.485,5.398
0.111,0.327,3.021,5.543
0.121,0.435,3.572,5.688
0.131,0.561,4.137,5.834
0.141,0.707,4.716,5.979
0.151,0.871,5.31,6.125
0.161,1.055,5.918,6.271
0.171,1.259,6.54,6.416
0.181,1.484,7.176,6.562
0.191,1.73,7.827,6.708
0.201,1.998,8.492,6.855
0.211,2.288,9.171,7.001
0.221,2.6,9.865,7.147
0.231,2.935,10.573,7.294
0.241,3.294,11.295,7.44
0.251,3.677,12.032,7.587
0.261,4.084,12.784,7.734
0.271,4.516,13.549,7.881
0.279,4.879,14.172,7.999
0.289,5.357,14.957,7.999
0.299,5.861,15.741,7.999
0.309,6.39,16.525,7.999
0.319,6.945,17.31,7.999
0.329,7.526,18.094,7.999
0.339,8.132,18.879,8
0.349,8.765,19.663,8
0.359,9.423,20.448,8
0.369,10.106,21.232,8
0.379,10.816,22.017,8
0.389,11.551,22.801,8
0.399,12.312,23.586,8
0.409,13.099,24.37,8
0.419,13.911,25.155,8
0.429,14.749,25.939,8
# Event LAUNCHROD occurred at t=0.439 seconds
0.439,15.613,26.724,7.989
0.454,16.957,27.899,7.989
0.466,18.074,28.839,7.989
0.484,19.819,30.251,8.004
0.511,22.593,32.373,8.028
0.551,27.106,35.569,8.063
0.601,33.266,39.533,8.107
0.651,40.078,43.519,8.15
0.655,40.579,43.798,8.153
0.66,41.337,44.218,8.158
0.668,42.487,44.849,8.167
0.68,44.244,45.795,8.18
0.698,46.947,47.219,8.2
0.724,51.158,49.36,8.23
0.764,57.825,52.586,8.274
0.814,66.785,56.656,8.328
