# Simulation 4 (Up to date)
# 1048 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (25.6 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.01,0,0,0
0.02,0,0.004,0.244
0.03,8.57e-4,0.058,0.866
0.04,0.004,0.174,1.488
0.05,0.013,0.35,2.11
0.06,0.028,0.588,2.732
0.07,0.052,0.886,3.354
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.087,1.245,3.988
0.091,0.14,1.713,4.673
0.101,0.204,2.177,4.804
0.111,0.283,2.655,4.936
0.121,0.378,3.145,5.067
0.131,0.49,3.649,5.199
0.141,0.618,4.165,5.33
0.151,0.763,4.694,5.462
0.161,0.926,5.236,5.594
0.171,1.107,5.791,5.726
0.181,1.306,6.359,5.858
0.191,1.524,6.94,5.99
0.201,1.762,7.534,6.122
0.211,2.019,8.141,6.255
0.221,2.296,8.761,6.387
0.231,2.594,9.394,6.52
0.241,2.913,10.04,6.652
0.251,3.253,10.699,6.785
0.261,3.615,11.371,6.918
0.271,3.999,12.055,7.051
0.279,4.323,12.613,7.157
0.289,4.748,13.315,7.157
0.299,5.196,14.017,7.157
0.309,5.668,14.718,7.157
0.319,6.162,15.42,7.156
0.329,6.679,16.122,7.156
0.339,7.22,16.824,7.156
0.349,7.783,17.525,7.156
0.359,8.37,18.227,7.155
0.369,8.979,18.929,7.155
0.379,9.612,19.631,7.155
0.389,10.268,20.332,7.154
0.399,10.946,21.034,7.154
0.409,11.648,21.735,7.154
0.419,12.372,22.437,7.153
0.429,13.12,23.138,7.153
0.439,13.891,23.84,7.153
0.449,14.684,24.541,7.152
# Event LAUNCHROD occurred at t=0.459 seconds
0.459,15.501,25.242,7.141
0.466,16.086,25.733,7.141
0.476,16.985,26.468,7.149
0.492,18.382,27.573,7.161
0.516,20.583,29.234,7.178
0.551,24.127,31.734,7.205
0.601,29.623,35.276,7.243
0.651,35.702,38.837,7.28
0.655,36.173,39.1,7.283
0.661,36.886,39.495,7.288
0.669,37.969,40.088,7.297
0.681,39.625,40.98,7.309
0.7,42.175,42.319,7.327
