# Simulation 4 (Up to date)
# 1140 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.01,0,0,0
0.02,3.154e-5,0.008,0.372
0.03,0.001,0.078,1.058
0.04,0.006,0.215,1.744
0.05,0.016,0.42,2.43
0.06,0.034,0.692,3.116
0.07,0.062,1.031,3.803
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.103,1.438,4.501
0.091,0.164,1.964,5.257
0.101,0.237,2.487,5.402
0.111,0.327,3.024,5.547
0.121,0.435,3.575,5.693
0.131,0.562,4.14,5.838
0.141,0.707,4.72,5.984
0.151,0.872,5.314,6.129
0.161,1.056,5.922,6.275
0.171,1.26,6.545,6.421
0.181,1.486,7.181,6.567
0.191,1.732,7.833,6.713
0.201,2,8.498,6.859
0.211,2.29,9.178,7.006
0.221,2.602,9.872,7.152
0.231,2.938,10.581,7.299
0.241,3.297,11.304,7.446
0.251,3.679,12.041,7.592
0.261,4.087,12.793,7.739
0.271,4.519,13.559,7.886
0.279,4.883,14.182,8.004
0.289,5.361,14.967,8.004
0.299,5.865,15.752,8.005
0.309,6.395,16.537,8.005
0.319,6.95,17.322,8.005
0.329,7.531,18.107,8.005
0.339,8.138,18.892,8.005
0.349,8.771,19.677,8.005
0.359,9.43,20.462,8.005
0.369,10.114,21.247,8.005
0.379,10.824,22.033,8.005
0.389,11.56,22.818,8.005
0.399,12.321,23.603,8.005
0.409,13.108,24.388,8.005
0.419,13.921,25.173,8.005
0.429,14.76,25.958,8.005
# Event LAUNCHROD occurred at t=0.439 seconds
0.439,15.625,26.743,7.994
0.454,16.97,27.919,7.994
0.466,18.087,28.86,7.994
0.484,19.833,30.272,8.01
0.511,22.609,32.396,8.034
0.551,27.126,35.594,8.069
0.601,33.29,39.561,8.112
0.651,40.106,43.549,8.155
0.655,40.608,43.829,8.158
0.66,41.367,44.249,8.164
0.668,42.518,44.88,8.173
0.68,44.276,45.828,8.186
0.698,46.981,47.252,8.206
0.724,51.195,49.395,8.235
0.764,57.866,52.623,8.279
